1,0,3105,0,0
0,668,3105,0,0
0,3315,2009,45,267
1,6750,490,0,-192
1,6750,0,0,0
1,8291,230,0,0
1,9831,459,75,0
1,12027,1669,180,-278
1,12900,4020,180,-278
1,12900,5870,180,0
